airline,overall,author,review_date,customer_review,table
Southwest Airlines,1,Meschelle Jensen,7th August 2017,"Verified Review | We had an awful experience traveling from Ft. Lauderdale to Albuquerque on Southwest Airlines yesterday. First let me say that SWA has always been our airline of choice, but yesterday we experienced terrible customer service, and I do not know if we will ever fly with them again. At the Ft. Lauderdale airport our flight was delayed by an hour and a half. We asked to re-rout the remainder of our flights, but we were assured that we had plenty of time to make all of our flights, so we had no need to re-rout. Our flight touched down in Nashville to allow more passengers to board the plane, the flight was then held on the ground to allow passengers that had been re-routed time to board the plane so that they could make connecting flights. We asked for help from the flight attendants, but were told it was out of their hands. When the flight landed in Denver we had fifteen minutes to catch our connecting flight, but the pilot announced that we could not get a gate, so we were held on the tarmac until after our flight left. At this point we went to the gate to ask for help and were told that we were held in Nashville so that many more people could make connecting flights, it was a business decision to hold us up so that more people could make their flights. We were told that we had been rebooked on the first flight out the next morning at 6:50 am (it was 10:00 at this time). I asked to speak to a supervisor because we now had to spend an unplanned night in Denver ""so that more people could make connecting flights, a business decision."" The same supervisor refused to give us a hotel voucher stating that he had already given away all vouchers for the day, but offered us a worthless coupon for a ""discount"" on a Best Western hotel room ($157-unsure when he could have a shuttle pick us up) or a no name hotel for $69 no shuttle. We ended up spending $234 at the Westin on the airport property since we had to be back at the airport for our flight in 6.5 hours by the time all of this transpired. The next day when we got home and claimed our luggage, it was wet, with the clothes inside soaked. In my opinion, if an airline makes ""a business decision"" to inconvenience one set of passengers to accommodate another set of passengers, they are at least obligated to pay for the hotel room of the stranded passengers.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Ft. Lauderdale to Albuquerque
Date Flown August 2017
Seat Comfort 12345
Cabin Staff Service 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,Rachael Bragg,5th August 2017,Verified Review | Northwest Florida Beaches to Nashville. I'm delayed at PCB airport with a baby and have made multiple attempts to get released from this flight and rebooked so I can get my daughter to a hotel and in the bed. We left the upstairs area where we were boarding without knowing we couldn't get back through and although I've spoken to several people here who work for SWA everyone here is telling me they can't help me and I'll have to keep waiting. I've also called the customer service number to attempt to make the changes that way and they to aren't assisting me. All I need to do is rebook a flight for tomorrow and no one has shown any interest in helping me despite the fact that I have a very exhausted and upset child who needs to be in the bed. This has been by far the worst customer service experience I've ever had with an airline and will definitely cause me to reconsider ever booking another SWA flight. This is truly a nightmare and the SWA staff here should be better equipped to serve its customers.,"Type Of Traveller Family Leisure
Cabin Flown Economy Class
Route Northwest Florida Beaches to Nashville
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,A Lenson,29th July 2017,Verified Review | Baltimore to Tampa. The worst airline ever. Me and my family flew on it 3 times within last week. All three flights were delayed with two of them delayed by 3 and 4 hours and this is for a 2 hr direct flight. All our plans got messed up. The lack of seat assignments is a major inconvenience. Not good if you have connections to other airlines - you will miss them. Not good for weekend getaway - you will spend it on the airport. Not good for anything.,"Type Of Traveller Family Leisure
Cabin Flown Economy Class
Route Baltimore to Tampa
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,A Victor,25th July 2017,"Verified Review | Never want to fly Southwest Airlines again! We left 3.5 hours late, but of course were only notified of a one hour delay prior to arriving at the airport so had to sit around for hours. Then we got on the plane and sat and sat, were told we were cleared for take off, then sat some more, then moved up to number two in line when the pilot came on and said we didn't have enough fuel so needed to go back to the gate to get more. How can you not fuel an airplane sufficiently for a 1.5 hour flight? Unbelievable. Don't recommend using this airline and SFO is a nightmare also.","Aircraft Boeing 737
Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route San Francisco to Portland
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,9,C Martin,24th July 2017,"Verified Review | First time flying this airline (RDU-MCO-RDU), and I have to say I'm impressed with the service overall. It's no frills, but the customer service is excellent and two free checked bags is even better. I know some people like to badmouth EarlyBird Check In, but I bought it a few days before my flight and got A60 on both trips. Both were full flights and on time, while the return flight was eight minutes early. Considering late afternoon flights from Orlando tend to get delayed due to late afternoon storms, that was a nice change. The captain on both flights kept us informed of any developments and whenever we hit bumpy spots. Only negative things about my flight were the worn seats and the flat Coke I was given. A fairly uneventful flight, which is how I like it. Highly recommend Southwest Airlines.","Aircraft Boeing 737-300
Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Raleigh to Orlando
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,10,Emma Shandy,21st July 2017,"Verified Review | I have severe anxiety when I fly. This flight had some turbulence that made me have a small panic attack. When the stewardess saw me she instantly invited me to come stretch in the back, gave me ginger ale and a cold compress. While I was back there the stewardesses provided me with reassurance, conversation and encouragement. I was so touched at how friendly and kind they both were, constantly checking in on me and also bringing my husband a drink.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Chicago to Seattle
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,5,Connie Custin,20th July 2017,"Verified Review | We flew from Atlanta to St. Louis on July 12 with Southwest. We left Atlanta an hour late because the plane was held up for late arriving passengers. Didn't know any airline would inconvenience a plane full of customers who selected a departure time only to be ignored. What could we do? Southwest had us on the plane so we were captive to their whim. Now after an exhausting week, again we are delayed an hour (could be more) leaving St. Louis to return to Atlanta. The most insulting thing about this delay is that there has been a plane at the gate since well before regularly scheduled departure time but zero activity. Zero explanation from SW. I guess they think we don't deserve that courtesy. I'm disappointed, aggravated and wondering why I keep putting myself through this with SW. Beware, time obviously means nothing. By the way, radar shows clear skies from St. Louis to Atlanta.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route St. Louis to Atlanta
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,7,E Bolton,19th July 2017,"Verified Review | Sacramento to San Antonio via San Diego. My flights with Southwest Airlines were fine. On the return flight - the copilot actually came down the aisle and introduced himself and wished everyone a good flight - nice touch. My issue came with the connecting gates in San Diego - Gates 1, 1A and 2. The first flight from Sacramento to San Diego - I had to change gates. Much to my surprise, I had to go through TSA security again because you walked from a secure area to a non-secure area. Even though I purchased a bottle of water in a secure area at the originating gate - I had to toss it because of the 2nd TSA security screen. On the way back - I had purchased a few items from the gift shops while waiting for my flight. Unfortunately, I had to change gates in San Diego - and had to go through the 2nd TSA security screen again. During this screen, I was told I could not keep a bottle of jelly I had purchased in the gift shop (receipt still in the bag) because it was over the limit - how incredibly ridiculous is that? I wasn't leaving the area without my purchased jelly - I didn't break any rules and I was going to be penalized due to SWA sending passengers on connecting flights through those gates. At one point I was told to just go back and get my luggage and place the jelly in my luggage - seriously? I just got off a plane and am in the process of going to a gate for my connecting flight - how on earth am I supposed to go get my bag? After speaking to the TSA supervisor and making it very clear I was not leaving without my jelly - the TSA agent decided they would test the jelly for whatever they test liquids for and then wrapped it up and handed it back to me after it passed the test. I can't be the first passenger this has happened to and the TSA agents explained they had made SWA aware of this issue but nothing had been done. For goodness sake SWA, use a little common sense and fix this issue. Have passengers who have to use those gates for connecting flights enter a separate area divided by security glass or stop routing passengers to those gates if they are changing gates for connecting flights. The current situation is beyond frustrating and really is inexcusable - there has to be a simple fix and if it isn't a simple fix - you should still fix it because it is a huge issue for your customers. For now - traveler beware - if you are changing gates during travel - avoid the San Diego airport because if your connecting flight is through gates 1, 1A or 2 - you can kiss that water or any gifts you just purchased in the secure area of your last flight that are liquid good-bye.","Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Sacramento to San Antonio via San Diego
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,1,T Ranton,15th July 2017,"Verified Review | Hartford to Orlando. I will never fly Southwest again, they do not care at all about customers. My flight was cancelled only 4 hours before it was scheduled leave. When I called to see why it was cancelled they said they had no idea. I was flying down to visit family for only 3 days, and I took off work. They changed my flight to a 5am trip so now I had to wake up at 2am to get to the airport. When I called Southwest they said that they couldn't do anything for me that it was not their fault or their responsibility. I wasn't asking for my money back I just wanted some type of compensation for my inconvenience.","Type Of Traveller Family Leisure
Cabin Flown Economy Class
Route Hartford to Orlando
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,10,R Marshall,8th July 2017,"Verified Review | Great flight at unbeatable value from Pittsburgh to Denver. Easy check-in, bags drop-off (2 pieces included in the basic fare!), convenient boarding process and seating, outstanding onboard service. It was my first flight ever with Southwest and I will surely fly again with them wherever I can!","Aircraft Boeing 737-700
Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Pittsburgh to Denver
Date Flown July 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,3,Ryan Henry,2nd July 2017,Verified Review | Baltimore to Orlando. Not impressed. You must check in within 24 hours. I checked in what I thought was quickly and ended up in group c. Why don't they have assigned seating? Got another awful seat like I always do. I only had 1 bag but it was overweight so I was charged $75. So if I had 2 bags I would not have been? What is that about. Third bad experience with this airline. Will not be using them again!,"Type Of Traveller Business
Cabin Flown Economy Class
Route Baltimore to Orlando
Date Flown June 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,S Smart,29th June 2017,Verified Review | This was the worst experience with Southwest Airlines yet. My plan was due to leave at 1:15pm from Atlanta to Orlando but was delayed until 6pm due to maintenance. The 6pm flight was then delayed until 7:45 making miss an important conference that I was booked for. I will never fly with Southwest again!!,"Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Atlanta to Orlando
Date Flown June 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,10,Jonathan Frye,29th June 2017,Verified Review | Flew Oakland to Phoenix. Southwest Airlines has always been great to me. Today they showed me why I will always choose them as my preferred airline. My meeting got canceled and I was supposed to fly out at 5pm today. I am now on 6.30am flight to Phoenix. Best customer service.,"Aircraft Boeing 737
Type Of Traveller Business
Cabin Flown Economy Class
Route Oakland to Phoenix
Date Flown June 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,8,A Richards,28th June 2017,"Verified Review | Since 1999, I have flown Southwest and never had problems with it. They have decent seats, and the staff has been friendly and helpful. In addition, Southwest prices are generally fair that customer can purchase tickets in advance for cheaper than most other carriers. They have added some decent flights which were beneficial to our whereabouts. Their boarding process, although different, works well. Fort Lauderdale Airport's Concourse B requires more expansion of rooms and gates because I see the heavy crowd, which makes me uncomfortable to walk. Sometimes chairs are full; you have to stand up, waiting to board. There are few plugs to charge devices. Tampa Airport's Concourse C looks very neat and comfortable. There are many plugs to charge devices. Thus, I have heard Southwest has 101 destinations in the United States and 8 additional countries that its airline connections are expanding. I have been flying often B737, which is great planes with good seats, and I hope Southwest buy more new next generation Boeing planes with more room for legs. Lastly, Southwest Airlines offers internet service using a satellite-based Wi-Fi provider. Cost per device for Wi-Fi access is $8. I know Wi-Fi is not free, and I wish Southwest offer us for 100% free Wi-Fi in order to contact with families and/or friends and watch streaming movies or shows. Therefore, I'm glad that I have decided to fly this airline without a doubt.","Aircraft Boeing 737
Type Of Traveller Family Leisure
Cabin Flown Economy Class
Route Nashville to Fort Lauderdale
Date Flown June 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended yes"
