airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Alaska Airlines,8,M Armstrong,2nd August 2017,"Verified Review | The gross difference in cost for a first class ticket from Portland to Kansas City was around $314. $554 for first class, $240 for economy. Savings of $50 for 2 checked bags, around $10 (I think) for the hot meal, $7 each per drink, snack. Net difference is around $247, or $124 each 3 hr 30 min leg. FC ticket allows use of AL lounge at PDX (none at MCI), which was OK. FC cabin has 12 comfortable seats with power outlets and dedicated flight attendant. Free Gogoinflight service is barely satisfactory. Service, food and drinks were all good on both legs. Excellent FC check in service at both ends. Boarding / exiting first with ample overhead bins is nice. Question is: Would I fly FC again to this destination? Frankly, it's a toss up.",E75,Solo Leisure,First Class,Portland to Kansas City,July 2017,4,5,4,,5,4,yes
Alaska Airlines,3,Scott Roza,21st July 2017,"Verified Review | Another late flight out of SFO, which was 100 percent Alaska's fault. I've been MVP Gold 75k for 6-7 years in a row and their service and on time performance continues to decrease. This trip we fully boarded on time and at departure time the pilot announced that the plane wasn't fueled yet and was waiting on a fuel truck. 40 minutes later one showed up. This plane was sitting at the gate 30 minutes before boarding even started so there was no excuse. Ever since Alaska merged with Virgin, and moved to the Virgin gates, performance has plummeted. I plan to spend more and more on Delta. You no longer earn my business Alaska.",,Business,Premium Economy,San Francisco to Seattle,July 2017,3,2,2,,1,2,no
Alaska Airlines,8,E Reese,8th July 2017,"Verified Review | Redmond to Reno via Portland. I've had a lot of good experiences with AlaskaAir, but this trip was not a good one. Two hours before the flight, I get an e-mail saying ""Sorry, your flight has been canceled."" However, the e-mail, ios app, and online all showed the same exact itinerary. It wasn't until I arrived at Portland did everything update to show that my PDX-RNO flight was completely canceled. I was auto-booked for a flight the next day. Not only is that terrible, but the lady at the counter was able to fit me into the last seat on a flight that afternoon, which means the auto-booking system isn't helpful. I had to sit in Portland twiddling my thumbs for 8 hours, and it was awful. Here's the redeeming qualities of Alaska Airlines, the rep gave me some vouchers for food and snacks, and discount codes for my next booking. Not a worthy trade to me, but at least they were apologetic and tried to remedy the situation as best they could. Like I said, this was my only bad experience with Alaska so I won't swear them off for that. Except for the flight attendant that skipped over me for a drink. That was annoying.",,Solo Leisure,Economy Class,Redmond to Reno via Portland,July 2017,4,4,2,,4,4,yes
Alaska Airlines,2,C Andrews,28th June 2017,"Verified Review | My husband and I have flown Alaska several times to LA before and have never had a problem with them. However, this time I was traveling back to Washington alone with my 2 year old. We called earlier and asked if someone would be able to help me carry his 40 lb car seat to the gate. They said if we arrived 2 hours earlier we could request a gate pass. So on the day of the departure we arrived early and found out that they wouldn't give us one. No explanation. So I had to carry the car seat, my luggage, and have my 2 year old running behind me to make it through the tsa screening and walk all around to find our gate. It was a terrible experience and I don't understand why they said one thing on the phone and then no in person. The actual ride wasn't bad but I don't think we will use Alaska Airlines again.",,Family Leisure,Economy Class,Los Angeles to Seattle,June 2017,4,4,5,3,1,3,no
Alaska Airlines,10,P Samson,25th June 2017,"Verified Review | Alaska Airlines flight from Redmond to Portland, and was then headed to Oslo, Norway after that. I only checked my luggage to Portland and thought I had to get it and check it again. A very nice lady checked the possibilities to check my luggage all the way, and I did not even ask for it. I did not have my flight numbers ready but she just fixed it all for me and was so very helpful. Great service.",,Solo Leisure,Economy Class,Redmond to Portland,June 2017,3,5,,,3,3,yes
Alaska Airlines,9,S Fallon,7th June 2017,"Verified Review | Detroit to Seattle. Phenomenal service, excellent food. This is my first time flying Alaska, and I chose them because they're partners with Virgin, it was my best flight in a quite a while. This plane was older and the interior was showing wear, so I was a little concerned about what to expect - worry not, you're in for a top notch experience with Alaska Airlines. Service was super friendly and attentive, meals were designed by Seattle chef Tom Douglas (I skipped the entree & dessert, so I can't comment on that) but the salad was very nice, dinner smelled wonderful (pesto), dessert was gorgeous, and the beverages never stopped flowing. I've read reviews that Alaska's first class chairs are uncomfortable due to pitch, I didn't find this to be the case - I found them very comfy, but this was only a 4-5 hour flight. The only slight negative was I had planned to work in-flight and the barely there internet connection made that impossible - they use GoGo and it runs $24 for an in flight pass. I'm not sure if the wifi problems were a GoGo issue, a hardware issue, or due to some other factor. I didn't mind though, it was nice to take a break and enjoy some on board entertainment. Even better - the cost for this first class nonstop flight was only around $100 more than the next best option - an economy carrier with seating headaches, no meal service, and connections amounting to twice the travel time! Alaska Airlines - my new favorite carrier!.",,Solo Leisure,First Class,Detroit to Seattle,June 2017,5,5,5,5,5,5,yes
Alaska Airlines,9,F Durand,2nd June 2017,"Verified Review | My first experience with Alaska Airlines flying from Portland to San Francisco. Not happy with ground staff who charged me 75 dollars for a slightly overweight check-in luggage. I was travelling with a First class ticket and with my baby. On board, cabin crew were all very nice. The purser provided us with an outstanding service. It was highly appreciated specially as I was travelling with a very young baby.",Boeing 737-900,Family Leisure,First Class,Portland to San Francisco,May 2017,5,5,5,,2,5,yes
Alaska Airlines,10,Justin Combs,30th May 2017,Verified Review | Bozeman to Anchorage via Portland / Seattle. I'm blown away at how far this company has gone to help me get home. My booking agent took me on a wild ride with a 6 hour layover in Portland and a 11 hour layover in Seattle. When checking my bag the agent said no this won't do we can't do this to you and told me to speak with my gate agent for help. As busy as my gate agent was she worked with 3 others to get my flight from Seattle to Anchorage bumped up shortening my layover. They told me to get on standby in Portland asap to avoid this 6 hour layover. On Memorial Day I got the last seat. I'm heading to Seattle 5 hours early and might get home to my dogs tonight if standby works in Seattle. I want to thank the outstanding Alaskan Airlines team for helping me get home the quickest most affordable way possible. Customer for life.,,Solo Leisure,Economy Class,Bozeman to Anchorage via Portland / Seattle,May 2017,4,5,4,5,5,5,yes
Alaska Airlines,10,B Redman,16th May 2017,"Verified Review | A direct return flight to Seattle from Boston. Both ways were on time, which is generally regarded as mission impossible in the Boston Logan airport - no idea how they manage to pull it. The return flight landed half an hour early which was very much appreciated, considering that it was almost midnight. Alaska guarantees that the bags are delivered to the carousel 20 minutes from the moment the disembarkation starts, both times it was faster than that. Drinks were served 3 times during the 5 and half hour flight. The selection of meals for purchase was generally so so, but no demerit points for that since it's expected of all airlines. They did give a free cookie. Ample space between seats. The wifi was sluggish at times, but the entertainment package was fine. The crew were efficient and polite. But it's the service that made me write the review making sure the airline gets a deserved praise. After the outbound flight, our bag was nowhere to be found. We filed a report while a very patient and nice customer service lady told us what may be happening. She also said that the bag may arrive while we are filing the report as it may have been misdirected elsewhere in the airport. This is exactly what happened. Her apologetic and helpful attitude was already compensating for the inconvenience. However, we were given $50 discount off the next flight. On the flight back, something started dripping on me from above. It turned out some kind of saline solution from another passenger's bag (makes me happy that they prohibit carrying acids and dangerous chemicals!). The crew rushed with napkins, cleaned everything up, made sure the dripping stopped within minutes, and we got all the alcohol and the food for free. This is how the airline service is meant to be. Well done, Alaska!",Boeing 737,Business,Economy Class,Boston to Seattle,May 2017,5,5,5,4,5,5,yes
Alaska Airlines,8,Cynthia Yocum,14th May 2017,"Verified Review | We flew from Detroit to Seattle to Oakland and then finally to Maui, all flights were Alaska Airlines and I was very impressed. I am one of those people that are afraid of flying but never once did I feel unsafe. The flight attendants were very friendly and accommodating. The only complaint I would have is probably the same for all airlines, it is just so cramped and when flying 5 hours becomes very uncomfortable. I will definitely recommend Alaska Air to anyone looking for a great airline.",,Family Leisure,Economy Class,Detroit to Maui,May 2017,3,5,3,3,5,4,yes
Alaska Airlines,9,Stephen Sweet,11th May 2017,"Unverified | Anchorage to Portland. Another great experience on the best airline in the Pacific NW if not the USA. The flight down to Portland was just great, a redeye. I sat with two other Veterans so we were able to spend some time comparing our service activities, places, people and things. The flight was as good as could be hoped for - clean plane, wonderful crew and on time to boot! The flight to Chicago was perfect in all respects. I was moved to First and sat next to a young lady who works for Alaska. We spoke about a number of subjects and I inquired about her time with the airline. She said she is very pleased to be with them in the reservations department. I told her I am a Gold member and really enjoy the flights I have had these past seven years. I spoke with two of the flight attendants and thanked them for their obvious hard work and great attitudes. Again, the flight was smooth, great service and fine food. I could not have asked for more!",Boeing 737-800/900,Solo Leisure,First Class,ANC to ORD via PDX,April 2017,5,5,5,5,5,4,yes
Alaska Airlines,4,Jim Snell,11th May 2017,"Verified Review | San Francisco to Matzitlan via Los Angeles. Alaska and Virgin America are merged except for computers. I can't even post a review on alaskalistens because the form doesn't recognize my itinerary. I booked thru Alaska Airlines and they put me on Virgin America for the SFO to LAX leg. When I got to SFO they couldn't book my luggage to Mexico. The counter agent observed or booking was stupid. We told him Alaska booked it this way. First leg ended in LAX, point to point. So our luggage could book thru. After three levels of supervisor and 45 minutes the ticket agent figured a way to get the luggage to Mexico but advised us to check in Mexico to avoid the issue returning. No agent in Mexico would take responsibility for the issue. As a consequence when we got to LAX on the return we had to shelp our bags from terminal 6 (Alaska) to terminal (3) Virgin to recheck them in. Took so long we missed our flight to San Francisco. We are long time Alaska users with a credit card and a mileage plan. Very disappointed. If they try to put you on Virgin for one leg be forewarned that they haven't worked out all the kinks is the merger. And I couldn't even make this statement to Alaska direct because the company doesn't acknowledge an SFO to Matzitlan itinerary using Virgin for one leg.",,Couple Leisure,Economy Class,SFO to Matzitlan via Los Angeles,May 2017,3,5,,,3,3,yes
Alaska Airlines,10,L Halina,3rd May 2017,"Verified Review | Albuquerque to Portland via Seattle. Surprisingly awesome. Really nice employees on and off the plane, timely, great landing, option to check carry on bags for free when the flight was full, preassigned seats, relaxed boarding, free texting and entertainment via gogoinflight, and good cookies.",,Solo Leisure,Economy Class,Albuquerque to Portland via Seattle,May 2017,5,5,5,5,5,5,yes
Alaska Airlines,1,B Stewart,26th April 2017,"Verified Review | Alaska Airlines is the worst that I have flown on. Not only did they give up my seat from Seattle to Anchorage, the gate employee and the customer service agent was very rude. They didn't offer anything to fix the problem and rebooked me for a flight 6 hours later than my original, middle seat, after I have been flying for about 18 hours.",,Business,Economy Class,Seattle to Anchorage,April 2017,1,1,1,3,1,1,no
Alaska Airlines,2,Jane Brettell,24th April 2017,"Verified Review | Los Angeles to San Francisco. I've made a point to fly Alaska Airlines most of my flight for its previous customer service reputation. I booked a flight first class using mileage in April 2017 and realized how terrible this airline has become. They cancelled my flight two days prior to departure and I received no notification or rebooking. I spoke with customer service the day prior after trying to check in and the agent was rude, short, and told me no I can't find anything to rebook you on. I asked her to check other airlines as this was their mistake and she said no. It was one of the worst experiences in 30 years of flying. Sad because Alaska Airlines used to be my airline.",,Business,First Class,Los Angeles to San Francisco,April 2017,3,3,3,4,1,1,no
Alaska Airlines,10,Liza Zacharias,22nd April 2017,"Verified Review | Seattle to Victoria. In these days of poor airline customer service, Alaska Airlines is a standout! Our 11:20pm flight from Seattle to Victoria had to be cancelled due to maintenance issues. As soon as they informed passengers about the cancellation, they already had a plan in place - everyone was a accommodated in hotels & vouchers given for food. No waiting around, no fuss! Thank you Alaska Airlines!",,Couple Leisure,Economy Class,Seattle to Victoria,April 2017,4,5,3,,5,4,yes
Alaska Airlines,7,N Rennie,18th April 2017,"Verified Review | Los Cabos to San Francisco. Alaska Airlines is a great airline overall. Their service and staff, flight attendants are very nice and helpful. Entertainment can be good depending on which aircraft you go on. If you are on a flight longer than 3.5 hours, then you can rent their entertainment tablet for around $8 or $10. This includes free movies and games. If your flight is under that, then bring your own device and download the Gogo app before departing. You will be able to watch free movies if your airline has wifi. It's great that they have power outlets. Wifi is expensive at $16. You don't have to purchase wifi in order to watch entertainment on your device. The seats are a little smaller than some airlines and not the most comfortable. But they do recline pretty far back. It will be interesting to see what happens when Virgin America merges with Alaska Airlines.",,Family Leisure,Economy Class,Los Cabos to San Francisco,April 2017,3,5,5,4,5,5,yes
Alaska Airlines,8,Stephen G Sweet,9th April 2017,"Unverified | My wife and I recently flew to Kona, HI from Anchorage, AK. Prior to boarding we took in the Alaska Boardroom and enjoyed our time there. We flew in the Premium Economy section and had no complaints. The food was fine as was the service. The aircraft was clean and the flight was smooth. Upon landing in Kona we went to pick up our bags but as luck would have it, ours and 40 other folks did not have any! As it turned out, these bags were left in Anchorage. Something to do with weight, headwinds or whatever. This was not something that we expected and we were not pleased but Alaska did try to meet our needs somewhat. We were offered either a coupon for $100 off a future ticket or 4 thousand miles on our Mileage Plan. I took the miles as did my wife. Our luggage was delivered the next afternoon. There were some folks who were quite upset over this and I felt bad for the employees having to try to meet their needs. Our stay in Kona was not good due to sickness for the entire 11 days but I must say it was a beautiful place, we plan to return and stay where we were this time. Kona is not a bad place to be sick I must admit! Our return trip went through Seattle and again we were in P/E section. Everything was fine, again a great crew, clean plane and wonderful service. We had a short time in SEA and then off to Anchorage. No problems encountered onboard. This plane had not been upgraded with the Premium section but we were fine. All in all, things were fine.",Boeing 737-900,Couple Leisure,Premium Economy,ANC to KOA,April 2017,4,5,4,5,4,3,yes
Alaska Airlines,1,L Mellon,29th March 2017,"Verified Review | Salt Lake City to Honolulu. Been trying to resolve this with Alaska Airlines since we got to Hawaii but they still aren't so I'm going to put this out there for my friends & family. I tried to do something awesome for my mom since it was her birthday and her first time to Hawaii so I upgraded our seats to ""premium"". Premium seats are terrible for the following reasons: If I can't store my carry on under the seat in front of me because it's a row behind first class which only has 2 seats then the seat isn't premium. If I have the ""first class curtain"" hanging in my lap and in my face every time someone walks through it then it's not a premium seat. If I have to go from row 7 all the way to the back of the plane to the lavatory, then the seat isn't premium. If it says I get chocolates, almonds & cranberries & what I get is 1 square of dark chocolate, a snack size bag of blue almonds (approximately $0.50) and a snack size bag of ocean spray cranberries (approximately $0.50) then it's not premium. If it says to power up with a power outlet at every seat but every seat on the whole plane has one including the regular fare seats then it's not premium. When it say complimentary drinks but the attendant comes by once the whole flight that's not premium. When it says I can recline but the seats only go back as far as the normal seats then it's not premium. When your web site advertises premium upgrades starting at $15 but I had to pay $150 per ticket, I should've already known it wasn't going to be a premium experience. Please do not fall for Alaska Airlines scam of premium seating!",,Solo Leisure,Premium Economy,Salt Lake City to Honolulu,March 2017,1,1,1,1,1,1,no
Alaska Airlines,4,D Stanner,25th March 2017,"Verified Review | Seattle to Petersburg. Once aboard the plane, we had a stop in Ketchikan, before going on to Wrangler and to Petersburg. When I booked the tickets it was a direct flight to Petersburg. I found out that it was not at thw airport. Then they made us gather our stuff and made us move to different seats at Ketchikan. I think a warning that that was going to happen would have been nice. In this age of technology I would think that should not happen. That we should have been able to stay in the seats we started in. Disappointed.",,Family Leisure,Economy Class,Seattle to Petersburg,March 2017,3,4,2,,3,3,yes
Alaska Airlines,8,N Smith,6th March 2017,"Verified Review | San Diego to Newark. When I first got to the airport, I saw a 90 minute delay. I wasn't that happy, but Alaska Airlines kept us informed and boarded us as quickly as possible. Soon after the plane took off, they began the service. The snacks were good and they came around with drinks three times during the flight. I ordered one of their Signature fruit and cheese platters and I was shocked about how good it was. The flight attendants were really kind and friendly and seemed like that they loved their jobs. One thing I wasn't too happy about was that their IFE had a limited selection of programs and that you had to download this terrible app to use it. The flight was 4 hours and 19 minutes and would absolutely fly with them again.",Boeing 737-900,Family Leisure,Economy Class,San Diego to Newark,February 2017,4,5,5,3,4,5,yes
Alaska Airlines,1,Geneva Neubauer,5th March 2017,"Verified Review | Seattle to Los Angeles. My flight was delayed and I missed several connecting flights, had to pay for a hostel I didn't stay in, a hotel for layover, missed my ride, missed classes, wasted a day of vacation, and have no time to settle in with my host family. I get that stuff happens but doing all you can to fix a wrong is appreciated and good costumer service. Alaska Airlines staff repeatedly told me it wasn't their fault but I'm the customer and it wasn't my fault either. If you provide a service sub par make it right and don't make a costumer feel like it was their mistake or that they have to pay for a mistake they didn't cause. I paid for a hotel and would have had to pay too much to get on the next flight out. That is unreasonable. I will be hesitant to use Alaska again.",,Solo Leisure,Economy Class,Seattle to Los Angeles,March 2017,2,2,2,,1,1,no
Alaska Airlines,10,Paul Spencer,2nd March 2017,"Unverified | Seattle to Ronald Reagan Washington Airport. Comfortable, clean, on time, great FAs. A direct service to Washington DCA Airport so short taxi ride to Capitol. Just a nice travel experience as always. Boardroom at Seattle is falling below the standards now set by the Amex Centurion lounge and the new Delta lounge - but no big deal.",Boeing 737,Family Leisure,First Class,SEA to DCA,March 2017,5,5,3,3,5,5,yes
Alaska Airlines,1,Amanda Smith,27th February 2017,"Unverified | Portland to New York JFK via Seattle. We showed up at Portland Airport for an 8pm flight. Our gate was switched twice, a sign of what was to come. As was the hard of hearing old man that the gate staff refused to help. The 8pm flight was delayed so badly that it became clear that we would miss our connection in Seattle. The bumbling idiots at the ticket counter couldn't figure out a solution to this issue, since their system doesn't link with better airlines (such as Jetblue). They put us up in a hotel for the night with the promise of a non-stop first class, 6:15am flight (to Newark, when our car was at JFK). Midway through the flight, we are diverted to Pittsburg, where we were trapped on the plane for 3 hours. After an announcement that we were going to Baltimore next, we took off for Newark, landing at 7:30pm . From 6:15am to 7:30, we were offered one fruit plate and some small snacks. We had to take a cab home. The next morning, we took a two buses and a train to our car at JFK . Mutiple calls to Alaskan airlines were met with indifference, attitude and a gusty offer to join their mileage program! I will never fly this airline again.",,Couple Leisure,Economy Class,Portland to JFK via Seattle,February 2017,1,1,1,1,1,1,no
Alaska Airlines,4,W Markham,24th February 2017,Verified Review | Salt Lake City to Los Angeles with Alaska Airlines. This was the second time my 13 year old went as an unaccompanied minor. And both times they would not let her mother go back to meet her at the gate without me having to call the airline and her having to get the manager at the airport. Both times I called to make sure it was done correctly. And both times it was done incorrectly I will not be using this airline again for an unaccompanied minor.,,Solo Leisure,Economy Class,Salt Lake City to Los Angeles,February 2017,3,3,3,,1,4,no
Alaska Airlines,10,P Lane,21st February 2017,"Verified Review | Seattle to Fairbanks. Outstanding customer service as always. Final leg of my flight from Tucson, AZ to Fairbanks, AK. Previous flights were with American Airlines who across the board were not very helpful. What set Alaska Airlines apart from the rest is their ability to tell customers what they can do, verses reiterating what they can't do. Alaska Airlines is flexible and values their flyers!",,Solo Leisure,Economy Class,Seattle to Fairbanks,February 2017,3,5,,,5,5,yes
Alaska Airlines,1,John Nunes,16th February 2017,Verified Review | We booked our flights in July 2016 with Alaska. It's February 2017. From Kona to Seattle they had the family split up including our 5 year old. They did not care at all (that's the way flights work she said they have to make money). Then the flight attendant prosseded to give my 5 year old pop every time he would ask but my wife and I were not sitting in same row and could not see. My wife got to sit beside 2 people that had to use belt extensions - it was fun for her. When we got to Seattle they had seats for us - one for me but the kids and wife they oversold. They know when you book flights how old people are so the idea of splitting up a mother or father and a 5 year old is ridiculous. The other part is how do you oversell a seat when you book it 8 months early.,Boeing 737,Family Leisure,Economy Class,Kelowna to Kona via Seattle,February 2017,1,4,4,5,1,1,no
Alaska Airlines,3,R Matthews,13th February 2017,"Verified Review | Seattle to Los Angeles. Alaska Airlines has gotten better over the years but still has a ways to go. Many of their flights are still late and they generally do an awful job of updating the electronic screens at the gates. The screen will say a flight is boarding in 5 minutes when there isn't even a plane at the gate. It's also comical how Alaska charges most of their passengers to check a bag but then offers to do it for free as nearly every flight has issues with overhead bin space. So if you're flying Alaska check in online and choose zero bags to check. A screen or two later Alaska will usually offer to let you check your carry-on for free. And even if they don't, they almost certainly will offer to do so at the gate. Why not offer a free checked bag to everyone if you're going to offer that anyway? It's not fair to those who paid to check their bags. On the plus side their newest planes (the ""next gen"" 737-800 and -900) have more generous legroom and power at your seat. On the downside you have to use your own device for inflight entertainment. Alaska could learn something from Virgin American (which they now own). They do offer free (for now) streaming shows over WiFi but it's cumbersome, buggy, and you have to click past several screens trying to sell you GoGo inflight WiFi. While they offer a decent selection of paid food and beverages they have only a single food and beverage cart for the entire plane and a 737-900 is a long plane. So it takes something like 45 minutes for the service to work its way from the front to the back. But my biggest complaint about Alaska is they have many flights that are chronically late, yet they refuse to change the scheduled times. Even the flight crews have no explanation why they don't change the scheduled times. Southwest flies many of the same routes and puts Alaska to shame with their on-time record on those flights. And if anything goes wrong, like bad weather (we recently had snow in Seattle, for example) look out as Alaska turns into total chaos - especially at SeaTac. Wait times exceed one hour for calling them, lines stretch way down the hall from their customer service counters, their website falls on its face from the load, etc. And if you do stand in line for hours trying to rebook your cancelled, or infinitely delayed, flight, you're usually offered nothing useful and a joke of a customer care package. Basically they just seem not to care as they already have your money. Alaska charges at least $125 to make any changes to most flights and it's often horrifically expensive if you have to make a last minute change. This is in stark contrast to Southwest that charges no penalties for changes. Alaska's boarding is annoying with several ""tiers"" of preboarding which often amounts to at least a third of the plane with many of those people still blocking the aisles once they start general boarding. Again, Southwest is a far more pleasant and efficient experience. But airlines like United are even worse in this regard. Overall, for west coast travel I often have my pick of Southwest, Virgin America, Alaska, Delta, and United. And I try to book flights in that order of priority. Alaska is my third choice after Southwest and Virgin.",Boeing 737-900,Business,Economy Class,Seattle to Los Angeles,February 2017,4,2,3,1,1,3,no
